order_id,company,city,order_time,vehicle_type,distance_km,parcel_weight_kg,price_rs,status,delivery_time_min,customer_rating,customer_feedback,sentiment_label,merchant_id,driver_id,cod_flag,promo_used,order_value_rs,shipment_type,service_level
ORD101935,BlueDart,Kolkata,04/15/24 14:57,2W,1.09,2.11,64.61,delayed,5,4,Driver was polite and on time Expected better.,positive,m_8498,d_84329,0,0,3777.13,B2C,standard
ORD106494,Delhivery,Ahmedabad,04/27/24 8:42,Truck,7.29,0.68,143.55,delayed,63.7,1,"Delivery took too long, disappointed",negative,m_6983,d_20807,0,0,291.57,B2C,standard
ORD101720,Shadowfax,Nagpur,05/16/24 5:31,2W,0.71,4.14,71.25,delayed,5,2,"Order lost, support unhelpful",negative,m_8941,d_67411,0,0,263.13,B2C,standard
ORD109120,Shadowfax,Coimbatore,04/07/25 13:54,2W,5.05,4.18,91.67,delayed,15.1,1,"Order lost, support unhelpful Expected better.",negative,m_1780,d_68183,0,0,566.96,B2C,standard
ORD100360,Delhivery,Tiruppur,02/17/24 7:54,Tempo,0.55,4.16,107.55,delayed,5,3,Package arrived late but ok.,neutral,m_9188,d_34189,0,0,292.54,B2C,standard
ORD109663,Porter,Indore,04/06/24 5:01,Tempo,23.94,3.28,256.68,delayed,153.6,1,"Order lost, support unhelpful",negative,m_5823,d_75669,0,0,1854.42,B2C,scheduled
ORD105277,Shiprocket,Coimbatore,10/16/24 2:08,2W,4.22,1.39,55.81,delayed,6.3,3,Average experience Expected better.,neutral,m_3521,d_62472,0,0,1230.44,B2C,standard
ORD108546,Shadowfax,Chandigarh,12/20/24 20:35,2W,7.23,2.84,86.09,delayed,26.1,1,Driver cancelled multiple times,negative,m_7226,d_54471,0,0,294.51,B2C,scheduled
ORD102221,BlueDart,Calicut,10/06/25 12:16,2W,1.99,0.66,61.87,delayed,20.9,3,Average experience Expected better.,neutral,m_5967,d_77677,1,0,1217.26,B2C,express
ORD104617,Porter,Visakhapatnam,01/17/26 5:54,2W,3.02,6.11,102.22,delayed,7.8,3,Average experience Quick response from support.,neutral,m_8242,d_86881,0,1,5052.63,B2C,standard
ORD103465,Shiprocket,Bengaluru,06/13/25 0:01,Van,7.51,1.61,91.31,delayed,52.8,2,"Delivery took too long, disappointed Expected better.",negative,m_7244,d_55835,0,0,674.99,B2C,standard
ORD101408,Delhivery,Kolkata,01/23/25 23:28,Mini-Truck,2.76,1.63,85.65,delayed,14.9,3,Delivery was okay Expected better.,neutral,m_3825,d_56568,0,0,2075.25,B2C,standard
ORD100468,BlueDart,Delhi-NCR,04/26/25 8:06,2W,0.95,1.01,62.13,delayed,5,4,Smooth pickup and delivery Expected better.,positive,m_3761,d_84938,0,0,575.06,B2C,standard
ORD101175,Shiprocket,Delhi-NCR,11/15/25 0:21,2W,4.22,1.76,63.6,delayed,6.5,1,"Order lost, support unhelpful",negative,m_2836,d_49581,0,0,519.47,B2C,standard
ORD105224,Delhivery,Bengaluru,09/19/25 21:19,Tempo,2.97,11.41,188.02,delayed,9.4,2,Package was damaged on arrival,negative,m_1761,d_43649,0,0,374.2,B2C,express
ORD108128,DTDC,Indore,01/26/25 1:45,Truck,6.61,2.05,148.93,delayed,59.9,1,Package was damaged on arrival,negative,m_6696,d_25108,1,0,727.52,B2C,standard
ORD100424,Shadowfax,Ahmedabad,07/12/25 6:06,Truck,1.43,4.54,117.84,delayed,6.3,2,"Very poor service, won't recommend",negative,m_5834,d_63387,0,0,419.11,B2C,standard
ORD107047,Delhivery,Kanpur,11/16/25 20:38,Van,2.63,2.32,90.57,delayed,6.8,4,Driver was polite and on time,positive,m_8602,d_12585,0,0,50,B2C,standard
ORD102483,Shadowfax,Mumbai,04/15/25 4:07,2W,3.75,0.3,50.17,delayed,34.6,1,Driver cancelled multiple times,negative,m_1989,d_73127,0,0,852.53,B2C,standard
ORD101825,Shiprocket,Chennai,01/27/24 3:57,2W,4.48,3.93,81.51,delayed,33.9,1,Driver cancelled multiple times.,negative,m_5336,d_33298,0,1,1150.23,B2C,express
ORD110557,BlueDart,Delhi-NCR,12/08/25 4:04,Van,34.37,1.8,345.22,delayed,196.2,1,"Delivery took too long, disappointed Quick response from support.",negative,m_3487,d_19400,1,1,1329.65,B2C,standard
ORD101483,DTDC,Surat,08/23/25 7:20,Mini-Truck,2.33,1.4,75.07,delayed,18.2,3,Standard service,neutral,m_3859,d_60792,0,1,775.14,B2C,express
